model_name,num_documents,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
NMF,35000,0.78,0.12474014097718251,-1.6019942621523071,3
LDA,35000,0.8133333333333334,0.10663725205732041,-1.6218517228881462,3
BERTopic,35000,0.82,0.15581495934859388,-2.3369515992094736,3
top2vec,50000,0.9866666666666667,0.11387830003446363,-4.170080639956101,1
NMF,50000,0.8133333333333334,0.1256810563095416,-1.6156528484387696,1
LDA,50000,0.86,0.10892724511545504,-1.6312171739543906,1
BERTopic,50000,0.7933333333333333,0.15361028108683883,-1.8909572848623086,1
top2vec,50000,1.0,0.14780289437276314,-3.4877684607076573,2
NMF,50000,0.82,0.12112770397842561,-1.625796606480294,2
LDA,50000,0.8266666666666667,0.08954264617488783,-1.73932649181019,2
BERTopic,50000,0.7666666666666667,0.12102586115600987,-2.0034485889273355,2
top2vec,50000,0.9933333333333333,0.15251166927162738,-3.436744216193924,3
NMF,50000,0.78,0.12531546737697374,-1.6026120159552697,3
LDA,50000,0.8133333333333334,0.10674660895391054,-1.6228897967529945,3
BERTopic,50000,0.82,0.14912791181127033,-2.4346128148151194,3
top2vec,65000,1.0,0.1325521743862196,-4.175236204480976,1
NMF,65000,0.8133333333333334,0.12692582988652343,-1.6137993532156358,1
LDA,65000,0.86,0.10880560531955548,-1.631656930106728,1
BERTopic,65000,0.8,0.15506107018609852,-2.101039459408864,1
top2vec,65000,1.0,0.116713411721794,-4.273172918657352,2
NMF,65000,0.82,0.12140623186984466,-1.6224915717489372,2
LDA,65000,0.8266666666666667,0.09043236919652912,-1.7361087016302867,2
BERTopic,65000,0.8,0.16647224109998435,-1.9621043224926316,2
top2vec,65000,1.0,0.12859847190878654,-4.3804081866258375,3
NMF,65000,0.78,0.12526154615781357,-1.6005927341156705,3
LDA,65000,0.8133333333333334,0.10705213916978033,-1.6205413415026935,3
BERTopic,65000,0.8466666666666667,0.1586213566795866,-2.1162225166796285,3
top2vec,80000,1.0,0.12473972962640427,-3.7493416745755117,1
NMF,80000,0.8133333333333334,0.1313896714231938,-1.6108314019872096,1
LDA,80000,0.86,0.10906981482256531,-1.6302742962490224,1
BERTopic,80000,0.8,0.14513644361113495,-2.4866207030319343,1
top2vec,80000,1.0,0.10082527766890634,-4.189193923048431,2
NMF,80000,0.82,0.1214746847201067,-1.6219872763160164,2
LDA,80000,0.8266666666666667,0.09125379847521105,-1.738620749240854,2
BERTopic,80000,0.8133333333333334,0.16091718194268628,-2.083783669309329,2
top2vec,80000,1.0,0.11084880502334486,-4.440015754077604,3
NMF,80000,0.78,0.12540329548578205,-1.5989583445485944,3
LDA,80000,0.8133333333333334,0.10875208432988367,-1.619966087329551,3
BERTopic,80000,0.7533333333333333,0.14038606904999618,-2.249879604741619,3
